Complexity,Loss,Equation
1,0.08228551,"0.59453654"
2,0.081714995,"sqrt(0.32563263)"
3,0.025415402,"x1 / 3.1406147"
4,0.017960697,"exp(x1) / 13.462824"
5,0.011540182,"x1 / (x3 + 1.4928824)"
7,0.0074619935,"x1 / (3.7426116 + (x3 - x0))"
9,0.005356326,"x1 / (3.071562 + (sqrt(exp(x3)) - x0))"
10,0.0036371942,"x1 / (4.925912 + (square(-1.1829818 + x3) - x0))"
11,0.0029477219,"exp(square(x0 * 0.2879196) - (x3 / x1)) + 0.005998735"
12,0.002249591,"1.1620002 * exp(square(square(0.31214592 * x0)) - (x3 / x1))"
13,0.0019296926,"x1 / (2.843857 + ((x3 * (sqrt(exp(x3)) - x0)) / x1))"
15,0.0018023954,"x1 / (2.8441586 + ((x3 * (sqrt(exp(x3)) - x0)) / (x1 - 0.15052256)))"
16,0.0016030634,"x1 / (2.5550227 + exp(x0 * ((sqrt(exp(x3) + x4) + -1.1842932) - x0)))"
18,0.0014201158,"x1 / (2.1546645 + exp((x0 * ((sqrt(exp(x3) + 3.2500114) + -0.99237186) - x0)) / x1))"
19,0.0011191997,"x1 / (2.4123325 + exp((x0 * ((sqrt(exp(x3) + x4) + -1.0583279) - x0)) / sqrt(x1)))"
